entity_id;total_amount_of_triples;relative_amount_of_triples
14026;219;0.08%
2862;219;0.08%
2580;213;0.078%
5159;212;0.078%
9225;211;0.078%
12837;210;0.077%
8361;210;0.077%
10420;209;0.077%
8680;208;0.076%
1223;208;0.076%
10014;208;0.076%
1037;206;0.076%
1517;206;0.076%
12598;203;0.075%
12717;203;0.075%
14046;202;0.074%
11669;201;0.074%
10270;200;0.073%
5873;199;0.073%
8332;199;0.073%
7775;198;0.073%
11336;198;0.073%
12956;198;0.073%
3605;197;0.072%
7190;197;0.072%
13077;197;0.072%
10323;196;0.072%
3329;196;0.072%
4665;194;0.071%
2303;194;0.071%
14080;194;0.071%
8628;193;0.071%
13105;191;0.07%
12007;190;0.07%
1392;190;0.07%
5172;190;0.07%
8895;190;0.07%
3797;189;0.069%
10325;189;0.069%
14052;188;0.069%
2867;188;0.069%
2081;188;0.069%
5939;187;0.069%
6182;186;0.068%
12753;186;0.068%
11804;185;0.068%
8363;185;0.068%
8188;185;0.068%
6450;185;0.068%
13683;185;0.068%
8950;184;0.068%
2066;184;0.068%
947;183;0.067%
9958;183;0.067%
12470;182;0.067%
13084;182;0.067%
11148;182;0.067%
13404;182;0.067%
11387;182;0.067%
8193;182;0.067%
12499;182;0.067%
2082;181;0.067%
6683;181;0.067%
6366;181;0.067%
14431;181;0.067%
5669;180;0.066%
1219;180;0.066%
13781;180;0.066%
8857;179;0.066%
12468;178;0.065%
709;178;0.065%
12819;176;0.065%
3107;176;0.065%
12301;176;0.065%
9386;176;0.065%
13448;176;0.065%
2783;176;0.065%
1025;175;0.064%
14273;175;0.064%
9412;174;0.064%
9900;174;0.064%
4173;173;0.064%
2591;172;0.063%
14425;171;0.063%
8499;171;0.063%
1193;171;0.063%
12005;170;0.062%
14340;170;0.062%
11369;170;0.062%
1341;169;0.062%
8823;168;0.062%
3360;168;0.062%
8896;167;0.061%
4887;167;0.061%
9150;165;0.061%
12464;165;0.061%
14089;165;0.061%
10309;165;0.061%
3744;164;0.06%
3225;164;0.06%
12551;164;0.06%
5907;164;0.06%
12642;163;0.06%
992;163;0.06%
12890;163;0.06%
617;162;0.06%
14334;162;0.06%
9111;162;0.06%
6762;162;0.06%
13715;162;0.06%
2261;161;0.059%
10581;160;0.059%
7176;160;0.059%
13348;159;0.058%
5934;159;0.058%
9918;159;0.058%
2998;158;0.058%
8911;157;0.058%
650;157;0.058%
410;157;0.058%
12821;157;0.058%
12595;157;0.058%
11344;156;0.057%
3209;156;0.057%
7248;156;0.057%
3234;156;0.057%
680;155;0.057%
10045;155;0.057%
9378;155;0.057%
7990;155;0.057%
12575;154;0.057%
8418;154;0.057%
9674;154;0.057%
3850;154;0.057%
5736;153;0.056%
3876;153;0.056%
676;153;0.056%
12727;152;0.056%
13219;152;0.056%
13568;152;0.056%
8492;152;0.056%
14119;152;0.056%
8886;152;0.056%
4476;151;0.055%
14459;151;0.055%
3244;151;0.055%
13149;151;0.055%
13465;150;0.055%
9393;150;0.055%
3343;150;0.055%
3476;150;0.055%
13091;150;0.055%
1720;150;0.055%
9951;149;0.055%
996;149;0.055%
388;149;0.055%
224;149;0.055%
13382;148;0.054%
14021;148;0.054%
1502;148;0.054%
2502;147;0.054%
11956;147;0.054%
3652;147;0.054%
10791;147;0.054%
7989;146;0.054%
4515;146;0.054%
9301;145;0.053%
9285;145;0.053%
12379;145;0.053%
10419;145;0.053%
5567;144;0.053%
722;144;0.053%
6563;144;0.053%
8080;144;0.053%
10490;143;0.053%
14511;143;0.053%
2813;143;0.053%
2079;142;0.052%
6436;142;0.052%
10472;142;0.052%
1779;142;0.052%
8335;141;0.052%
9219;141;0.052%
422;141;0.052%
7033;141;0.052%
3747;141;0.052%
2981;141;0.052%
10638;140;0.051%
10669;140;0.051%
8824;140;0.051%
451;140;0.051%
7022;140;0.051%
14342;140;0.051%
5616;139;0.051%
10163;139;0.051%
12654;139;0.051%
9332;139;0.051%
1861;139;0.051%
8465;139;0.051%
14532;139;0.051%
5022;138;0.051%
12321;138;0.051%
4380;138;0.051%
13843;138;0.051%
2967;138;0.051%
10719;138;0.051%
14302;138;0.051%
13951;138;0.051%
3794;137;0.05%
11312;137;0.05%
6016;136;0.05%
2193;136;0.05%
3399;136;0.05%
6501;136;0.05%
10167;135;0.05%
990;135;0.05%
14005;135;0.05%
8112;135;0.05%
2779;135;0.05%
12223;135;0.05%
9205;135;0.05%
8369;134;0.049%
14296;134;0.049%
9340;134;0.049%
790;134;0.049%
11288;134;0.049%
5555;133;0.049%
10535;133;0.049%
501;133;0.049%
14418;133;0.049%
14048;132;0.049%
2055;132;0.049%
8544;131;0.048%
8443;131;0.048%
4513;131;0.048%
12776;131;0.048%
9365;131;0.048%
4872;131;0.048%
11687;131;0.048%
509;130;0.048%
416;130;0.048%
11853;130;0.048%
2840;130;0.048%
7451;130;0.048%
6152;130;0.048%
8485;130;0.048%
1169;130;0.048%
6592;129;0.047%
9189;129;0.047%
11565;129;0.047%
5312;129;0.047%
9941;129;0.047%
3981;129;0.047%
6409;129;0.047%
3964;128;0.047%
3937;127;0.047%
14446;127;0.047%
12892;127;0.047%
6721;127;0.047%
989;127;0.047%
5513;127;0.047%
6121;127;0.047%
10966;126;0.046%
618;126;0.046%
1041;126;0.046%
6292;126;0.046%
10609;125;0.046%
3076;125;0.046%
11753;125;0.046%
13979;125;0.046%
12839;124;0.046%
10908;124;0.046%
9313;124;0.046%
1100;124;0.046%
2201;124;0.046%
2035;123;0.045%
8966;123;0.045%
11389;123;0.045%
8528;123;0.045%
2979;123;0.045%
2993;123;0.045%
12082;122;0.045%
6024;122;0.045%
412;122;0.045%
2013;122;0.045%
4414;122;0.045%
13541;122;0.045%
9911;122;0.045%
11993;122;0.045%
2592;121;0.044%
13306;121;0.044%
8512;121;0.044%
2821;121;0.044%
421;121;0.044%
2065;121;0.044%
5728;121;0.044%
53;121;0.044%
8042;121;0.044%
1092;120;0.044%
762;120;0.044%
2263;120;0.044%
448;120;0.044%
768;120;0.044%
11960;120;0.044%
13229;120;0.044%
7148;120;0.044%
10648;120;0.044%
11507;119;0.044%
8904;119;0.044%
13106;119;0.044%
5916;119;0.044%
2858;119;0.044%
10875;119;0.044%
13871;119;0.044%
12339;119;0.044%
3795;119;0.044%
9304;119;0.044%
954;119;0.044%
1302;119;0.044%
13366;118;0.043%
13599;118;0.043%
12166;118;0.043%
8834;118;0.043%
8424;118;0.043%
6877;118;0.043%
551;118;0.043%
7163;118;0.043%
6194;117;0.043%
1432;117;0.043%
8541;117;0.043%
6126;117;0.043%
13092;117;0.043%
9944;117;0.043%
12923;117;0.043%
12993;117;0.043%
2829;117;0.043%
9527;116;0.043%
190;116;0.043%
1467;116;0.043%
1906;116;0.043%
13;115;0.042%
9286;115;0.042%
9544;115;0.042%
1486;115;0.042%
6485;115;0.042%
6602;115;0.042%
12644;115;0.042%
3498;114;0.042%
78;114;0.042%
8876;114;0.042%
1225;114;0.042%
7338;114;0.042%
1516;114;0.042%
6893;114;0.042%
11276;114;0.042%
10946;114;0.042%
2659;114;0.042%
411;114;0.042%
12881;113;0.042%
12597;113;0.042%
4006;113;0.042%
10471;113;0.042%
8537;113;0.042%
7308;113;0.042%
11961;113;0.042%
10701;113;0.042%
10350;113;0.042%
13604;113;0.042%
12836;112;0.041%
1197;112;0.041%
8076;112;0.041%
10799;112;0.041%
2586;112;0.041%
14361;112;0.041%
6452;112;0.041%
11469;112;0.041%
14525;112;0.041%
6493;111;0.041%
12747;111;0.041%
5684;111;0.041%
1160;111;0.041%
8425;111;0.041%
12872;111;0.041%
5968;111;0.041%
6977;111;0.041%
8486;111;0.041%
14216;111;0.041%
10988;110;0.04%
9686;110;0.04%
2736;110;0.04%
7307;110;0.04%
8232;110;0.04%
14002;110;0.04%
2859;110;0.04%
434;110;0.04%
11364;110;0.04%
6503;110;0.04%
10025;110;0.04%
99;109;0.04%
197;109;0.04%
8539;109;0.04%
8469;109;0.04%
9190;108;0.04%
997;108;0.04%
4603;108;0.04%
188;108;0.04%
7039;108;0.04%
11920;108;0.04%
5731;108;0.04%
13802;108;0.04%
1712;108;0.04%
7542;108;0.04%
2110;108;0.04%
136;108;0.04%
8339;108;0.04%
5730;108;0.04%
6989;108;0.04%
13962;107;0.039%
3796;107;0.039%
1946;107;0.039%
2789;107;0.039%
13076;107;0.039%
12669;107;0.039%
1097;107;0.039%
12900;107;0.039%
1737;107;0.039%
3000;107;0.039%
1171;107;0.039%
2246;106;0.039%
6063;106;0.039%
7187;106;0.039%
677;106;0.039%
1943;106;0.039%
2078;106;0.039%
2404;106;0.039%
1895;106;0.039%
9303;106;0.039%
2115;106;0.039%
13316;106;0.039%
13110;106;0.039%
7018;106;0.039%
14073;106;0.039%
675;105;0.039%
2746;105;0.039%
10510;105;0.039%
6106;105;0.039%
593;105;0.039%
12843;105;0.039%
14102;105;0.039%
8216;104;0.038%
988;104;0.038%
3632;104;0.038%
993;104;0.038%
13389;104;0.038%
14144;104;0.038%
2230;104;0.038%
12432;104;0.038%
2826;104;0.038%
11542;104;0.038%
3810;103;0.038%
3013;103;0.038%
3445;103;0.038%
13728;103;0.038%
1773;103;0.038%
9300;103;0.038%
14132;103;0.038%
8365;103;0.038%
5882;103;0.038%
4417;102;0.037%
13815;102;0.037%
661;102;0.037%
12867;102;0.037%
11986;102;0.037%
6779;102;0.037%
12640;102;0.037%
9061;102;0.037%
12108;102;0.037%
11625;102;0.037%
1447;102;0.037%
9851;102;0.037%
7302;101;0.037%
476;101;0.037%
579;101;0.037%
11776;101;0.037%
12107;101;0.037%
8182;101;0.037%
14531;101;0.037%
10334;101;0.037%
9195;101;0.037%
73;101;0.037%
232;101;0.037%
9307;101;0.037%
3954;101;0.037%
8725;100;0.037%
3828;100;0.037%
10794;100;0.037%
12417;100;0.037%
4502;100;0.037%
674;100;0.037%
7239;100;0.037%
6672;100;0.037%
10300;100;0.037%
2705;100;0.037%
10092;100;0.037%
9288;100;0.037%
3045;100;0.037%
2673;100;0.037%
10903;100;0.037%
1083;100;0.037%
14331;100;0.037%
673;100;0.037%
4415;100;0.037%
3086;100;0.037%
8802;99;0.036%
7459;99;0.036%
13383;99;0.036%
4763;99;0.036%
6442;99;0.036%
5379;99;0.036%
11465;99;0.036%
1640;99;0.036%
10010;99;0.036%
8720;99;0.036%
10059;99;0.036%
10328;99;0.036%
11416;99;0.036%
10564;99;0.036%
11371;99;0.036%
2324;99;0.036%
3425;99;0.036%
11958;99;0.036%
5661;98;0.036%
8468;98;0.036%
899;98;0.036%
12051;98;0.036%
6438;98;0.036%
1018;98;0.036%
9292;98;0.036%
7497;98;0.036%
3682;98;0.036%
3606;98;0.036%
6616;98;0.036%
14130;98;0.036%
1078;98;0.036%
2289;98;0.036%
6437;98;0.036%
3638;98;0.036%
11653;97;0.036%
3799;97;0.036%
1330;97;0.036%
12724;97;0.036%
668;97;0.036%
3811;97;0.036%
6414;97;0.036%
1277;97;0.036%
10460;97;0.036%
13821;97;0.036%
5437;97;0.036%
7471;97;0.036%
5570;97;0.036%
3025;97;0.036%
2596;97;0.036%
7101;97;0.036%
3057;96;0.035%
8260;96;0.035%
8831;96;0.035%
135;96;0.035%
9122;96;0.035%
9864;96;0.035%
6303;96;0.035%
6457;96;0.035%
10531;96;0.035%
13773;96;0.035%
10650;96;0.035%
11205;96;0.035%
13912;96;0.035%
6326;96;0.035%
5325;95;0.035%
6082;95;0.035%
14250;95;0.035%
8949;95;0.035%
11696;95;0.035%
9495;95;0.035%
540;95;0.035%
12302;95;0.035%
8961;95;0.035%
3890;95;0.035%
11580;95;0.035%
2712;95;0.035%
10495;95;0.035%
10624;95;0.035%
9376;95;0.035%
11616;95;0.035%
3239;95;0.035%
5734;95;0.035%
3371;95;0.035%
2855;94;0.035%
3504;94;0.035%
12522;94;0.035%
8120;94;0.035%
3156;94;0.035%
8267;94;0.035%
11867;94;0.035%
9977;94;0.035%
1340;94;0.035%
7514;94;0.035%
4467;94;0.035%
10658;94;0.035%
7253;94;0.035%
689;94;0.035%
7706;94;0.035%
12671;94;0.035%
13151;94;0.035%
12578;94;0.035%
12294;94;0.035%
10249;94;0.035%
2649;94;0.035%
13816;94;0.035%
7661;94;0.035%
12045;94;0.035%
12505;93;0.034%
5561;93;0.034%
3501;93;0.034%
9367;93;0.034%
9731;93;0.034%
4658;93;0.034%
14092;93;0.034%
4737;93;0.034%
1284;93;0.034%
13320;92;0.034%
13948;92;0.034%
5409;92;0.034%
2183;92;0.034%
11765;92;0.034%
3824;92;0.034%
10674;92;0.034%
12997;92;0.034%
1091;92;0.034%
9062;92;0.034%
13279;92;0.034%
2748;92;0.034%
4904;92;0.034%
1594;92;0.034%
6185;92;0.034%
8792;92;0.034%
11164;92;0.034%
8490;92;0.034%
1313;92;0.034%
6761;92;0.034%
13637;92;0.034%
13121;91;0.033%
611;91;0.033%
8510;91;0.033%
5589;91;0.033%
3003;91;0.033%
8507;91;0.033%
1707;91;0.033%
11213;91;0.033%
404;91;0.033%
7010;91;0.033%
4843;91;0.033%
10237;91;0.033%
3359;91;0.033%
2315;91;0.033%
678;91;0.033%
12745;91;0.033%
11691;91;0.033%
12169;90;0.033%
8657;90;0.033%
2167;90;0.033%
2083;90;0.033%
10825;90;0.033%
14383;90;0.033%
9768;90;0.033%
9198;90;0.033%
8135;90;0.033%
7606;90;0.033%
14303;90;0.033%
5645;90;0.033%
12945;90;0.033%
2941;90;0.033%
13611;90;0.033%
10716;90;0.033%
12985;89;0.033%
2341;89;0.033%
10751;89;0.033%
7197;89;0.033%
6390;89;0.033%
11814;89;0.033%
6467;89;0.033%
8587;89;0.033%
9448;89;0.033%
9391;89;0.033%
6477;89;0.033%
13089;88;0.032%
9311;88;0.032%
5348;88;0.032%
12730;88;0.032%
10910;88;0.032%
13172;88;0.032%
13128;88;0.032%
11912;88;0.032%
2931;88;0.032%
3080;88;0.032%
10741;88;0.032%
10574;88;0.032%
12676;88;0.032%
13209;88;0.032%
820;88;0.032%
7624;88;0.032%
3503;88;0.032%
2034;87;0.032%
3245;87;0.032%
14349;87;0.032%
4839;87;0.032%
11923;87;0.032%
14178;87;0.032%
6555;87;0.032%
7320;87;0.032%
14154;87;0.032%
4994;87;0.032%
7981;87;0.032%
8186;87;0.032%
5531;87;0.032%
7013;87;0.032%
3499;87;0.032%
10577;87;0.032%
11001;87;0.032%
11198;87;0.032%
985;87;0.032%
1990;86;0.032%
12970;86;0.032%
6643;86;0.032%
10809;86;0.032%
10016;86;0.032%
7152;86;0.032%
12062;86;0.032%
5592;86;0.032%
14305;86;0.032%
14333;86;0.032%
13538;86;0.032%
6653;86;0.032%
1202;86;0.032%
4760;86;0.032%
13859;86;0.032%
10940;86;0.032%
6757;86;0.032%
11317;86;0.032%
7216;86;0.032%
6682;86;0.032%
7256;86;0.032%
7858;86;0.032%
10731;86;0.032%
7521;86;0.032%
13300;85;0.031%
360;85;0.031%
10779;85;0.031%
2590;85;0.031%
8020;85;0.031%
9657;85;0.031%
3743;85;0.031%
2973;85;0.031%
13297;85;0.031%
2252;85;0.031%
14065;85;0.031%
9166;85;0.031%
3398;85;0.031%
8052;85;0.031%
13450;85;0.031%
10101;85;0.031%
9870;85;0.031%
12249;85;0.031%
13996;85;0.031%
8035;85;0.031%
11097;84;0.031%
1045;84;0.031%
2355;84;0.031%
6147;84;0.031%
3502;84;0.031%
6245;84;0.031%
9906;84;0.031%
12274;84;0.031%
4412;84;0.031%
6227;84;0.031%
13801;84;0.031%
2009;84;0.031%
12059;84;0.031%
8237;84;0.031%
10925;84;0.031%
3463;84;0.031%
2831;84;0.031%
370;83;0.031%
7885;83;0.031%
5658;83;0.031%
12722;83;0.031%
10297;83;0.031%
13214;83;0.031%
6566;83;0.031%
8853;83;0.031%
1433;83;0.031%
10583;83;0.031%
13262;83;0.031%
5149;83;0.031%
13681;83;0.031%
1554;83;0.031%
7465;83;0.031%
9284;83;0.031%
2849;83;0.031%
12017;83;0.031%
10695;83;0.031%
3348;83;0.031%
12338;83;0.031%
7509;83;0.031%
12729;83;0.031%
6984;83;0.031%
7856;83;0.031%
3639;83;0.031%
1595;82;0.03%
10726;82;0.03%
2692;82;0.03%
4742;82;0.03%
9143;82;0.03%
13679;82;0.03%
2707;82;0.03%
8774;82;0.03%
4528;82;0.03%
10319;82;0.03%
8148;82;0.03%
11607;82;0.03%
8103;82;0.03%
2027;82;0.03%
1693;82;0.03%
7489;82;0.03%
10680;82;0.03%
2751;82;0.03%
1691;82;0.03%
7268;82;0.03%
5739;82;0.03%
12151;82;0.03%
14117;81;0.03%
7457;81;0.03%
2794;81;0.03%
7416;81;0.03%
12124;81;0.03%
12303;81;0.03%
8907;81;0.03%
5218;81;0.03%
9536;81;0.03%
13228;81;0.03%
1814;81;0.03%
11131;81;0.03%
14348;81;0.03%
8142;81;0.03%
7783;81;0.03%
3117;81;0.03%
1157;81;0.03%
9828;81;0.03%
8489;81;0.03%
13193;81;0.03%
8840;81;0.03%
12179;81;0.03%
291;81;0.03%
2389;81;0.03%
3324;81;0.03%
14488;80;0.029%
1664;80;0.029%
6888;80;0.029%
9503;80;0.029%
6459;80;0.029%
3223;80;0.029%
11008;80;0.029%
11352;80;0.029%
2697;80;0.029%
8001;80;0.029%
13039;80;0.029%
8145;80;0.029%
11487;80;0.029%
6235;79;0.029%
4540;79;0.029%
2639;79;0.029%
3925;79;0.029%
4828;79;0.029%
5198;79;0.029%
7035;79;0.029%
10396;79;0.029%
8422;79;0.029%
1055;79;0.029%
11007;79;0.029%
3703;79;0.029%
963;79;0.029%
3255;79;0.029%
759;79;0.029%
12859;79;0.029%
12731;79;0.029%
8554;79;0.029%
8415;79;0.029%
9496;79;0.029%
14518;79;0.029%
1953;79;0.029%
2318;79;0.029%
13493;79;0.029%
2737;79;0.029%
11326;79;0.029%
6836;79;0.029%
7289;79;0.029%
10070;79;0.029%
3826;79;0.029%
6834;79;0.029%
11489;79;0.029%
3078;79;0.029%
9020;78;0.029%
6495;78;0.029%
5894;78;0.029%
13303;78;0.029%
12080;78;0.029%
1873;78;0.029%
2889;78;0.029%
2926;78;0.029%
8081;78;0.029%
8092;78;0.029%
3297;78;0.029%
9206;78;0.029%
12899;78;0.029%
91;78;0.029%
13060;78;0.029%
1162;78;0.029%
12566;78;0.029%
8606;78;0.029%
8872;78;0.029%
11903;78;0.029%
1854;78;0.029%
11101;78;0.029%
3840;78;0.029%
11235;77;0.028%
9240;77;0.028%
2790;77;0.028%
2750;77;0.028%
14124;77;0.028%
6338;77;0.028%
1194;77;0.028%
10634;77;0.028%
7997;77;0.028%
11509;77;0.028%
7758;77;0.028%
5049;77;0.028%
1896;77;0.028%
12508;77;0.028%
11021;77;0.028%
6798;77;0.028%
6572;77;0.028%
10671;77;0.028%
2764;77;0.028%
8002;77;0.028%
3355;77;0.028%
5190;77;0.028%
13459;77;0.028%
6297;77;0.028%
14279;77;0.028%
4543;77;0.028%
12752;77;0.028%
6710;77;0.028%
2944;77;0.028%
2635;76;0.028%
12823;76;0.028%
9957;76;0.028%
7996;76;0.028%
1907;76;0.028%
2397;76;0.028%
3673;76;0.028%
14081;76;0.028%
1439;76;0.028%
1684;76;0.028%
9238;76;0.028%
3884;76;0.028%
5103;76;0.028%
13698;76;0.028%
9293;76;0.028%
7510;76;0.028%
9017;76;0.028%
2690;76;0.028%
6255;76;0.028%
8534;76;0.028%
10842;76;0.028%
1893;76;0.028%
13247;76;0.028%
5602;76;0.028%
8168;76;0.028%
2930;76;0.028%
86;76;0.028%
6943;76;0.028%
12490;75;0.028%
7973;75;0.028%
5370;75;0.028%
6094;75;0.028%
517;75;0.028%
1165;75;0.028%
13386;75;0.028%
14491;75;0.028%
1597;75;0.028%
4844;75;0.028%
784;75;0.028%
1010;75;0.028%
341;75;0.028%
5619;75;0.028%
8432;75;0.028%
7038;75;0.028%
13957;75;0.028%
12252;75;0.028%
5965;75;0.028%
13142;75;0.028%
8878;75;0.028%
2534;75;0.028%
521;75;0.028%
13131;75;0.028%
7236;75;0.028%
9409;75;0.028%
8405;75;0.028%
1008;75;0.028%
8132;75;0.028%
2160;75;0.028%
10997;75;0.028%
8883;75;0.028%
7985;75;0.028%
7244;75;0.028%
13032;75;0.028%
7991;74;0.027%
274;74;0.027%
6973;74;0.027%
366;74;0.027%
12754;74;0.027%
7848;74;0.027%
10559;74;0.027%
7570;74;0.027%
11086;74;0.027%
13328;74;0.027%
1882;74;0.027%
8368;74;0.027%
4154;74;0.027%
2003;74;0.027%
6532;74;0.027%
8280;74;0.027%
2165;74;0.027%
8245;74;0.027%
8138;74;0.027%
5546;74;0.027%
6915;74;0.027%
8605;74;0.027%
14024;74;0.027%
13407;74;0.027%
9039;74;0.027%
13955;74;0.027%
8254;74;0.027%
13340;74;0.027%
10532;74;0.027%
1148;74;0.027%
13242;74;0.027%
11726;74;0.027%
8600;74;0.027%
10359;74;0.027%
3027;74;0.027%
5181;73;0.027%
10068;73;0.027%
12481;73;0.027%
10614;73;0.027%
12130;73;0.027%
8376;73;0.027%
12603;73;0.027%
2676;73;0.027%
14298;73;0.027%
6979;73;0.027%
12180;73;0.027%
4267;73;0.027%
11179;73;0.027%
13187;73;0.027%
10713;73;0.027%
3236;73;0.027%
10009;73;0.027%
12425;73;0.027%
1628;73;0.027%
9416;73;0.027%
10052;73;0.027%
7373;73;0.027%
7771;73;0.027%
7572;73;0.027%
7896;73;0.027%
12746;73;0.027%
9040;73;0.027%
2927;73;0.027%
1600;73;0.027%
14364;72;0.026%
6550;72;0.026%
10798;72;0.026%
11881;72;0.026%
11431;72;0.026%
72;72;0.026%
11989;72;0.026%
12095;72;0.026%
8129;72;0.026%
11280;72;0.026%
9937;72;0.026%
6058;72;0.026%
3517;72;0.026%
266;72;0.026%
8396;72;0.026%
234;72;0.026%
11617;72;0.026%
2071;72;0.026%
10209;72;0.026%
9553;72;0.026%
10285;72;0.026%
5179;72;0.026%
6932;71;0.026%
14292;71;0.026%
13509;71;0.026%
9743;71;0.026%
10415;71;0.026%
811;71;0.026%
7246;71;0.026%
10789;71;0.026%
1105;71;0.026%
13058;71;0.026%
3273;71;0.026%
5628;71;0.026%
8058;71;0.026%
9885;71;0.026%
6874;71;0.026%
8146;71;0.026%
2715;71;0.026%
13350;71;0.026%
855;71;0.026%
6500;71;0.026%
2128;71;0.026%
3992;71;0.026%
14392;71;0.026%
4929;71;0.026%
10523;71;0.026%
844;71;0.026%
8881;71;0.026%
13304;71;0.026%
9532;71;0.026%
14151;71;0.026%
2795;71;0.026%
2372;71;0.026%
10793;71;0.026%
1815;71;0.026%
961;71;0.026%
5945;71;0.026%
8782;71;0.026%
1995;71;0.026%
3462;71;0.026%
13845;71;0.026%
9427;71;0.026%
11228;71;0.026%
14422;70;0.026%
13555;70;0.026%
8003;70;0.026%
14321;70;0.026%
8304;70;0.026%
9764;70;0.026%
14327;70;0.026%
6333;70;0.026%
7100;70;0.026%
4743;70;0.026%
1389;70;0.026%
11737;70;0.026%
1394;70;0.026%
2622;70;0.026%
9208;70;0.026%
6626;70;0.026%
9120;70;0.026%
1452;70;0.026%
3550;70;0.026%
2052;70;0.026%
8429;70;0.026%
6553;70;0.026%
9715;70;0.026%
8417;70;0.026%
6895;70;0.026%
7672;70;0.026%
9980;70;0.026%
3953;70;0.026%
9886;70;0.026%
9632;70;0.026%
2619;69;0.025%
3907;69;0.025%
10823;69;0.025%
2991;69;0.025%
14207;69;0.025%
13960;69;0.025%
13196;69;0.025%
321;69;0.025%
8088;69;0.025%
11346;69;0.025%
12208;69;0.025%
4922;69;0.025%
9797;69;0.025%
520;69;0.025%
12210;69;0.025%
6669;69;0.025%
7616;69;0.025%
11424;69;0.025%
12831;69;0.025%
2923;69;0.025%
7074;69;0.025%
12506;69;0.025%
14332;69;0.025%
1568;69;0.025%
8472;69;0.025%
9324;69;0.025%
8044;69;0.025%
2864;69;0.025%
14397;69;0.025%
5082;69;0.025%
1561;69;0.025%
