relation_name_id;total_amount_of_triples;relative_amount_of_triples
670;734;0.152%
773;728;0.151%
801;721;0.149%
1325;721;0.149%
1212;717;0.148%
667;715;0.148%
1258;707;0.146%
22;697;0.144%
947;697;0.144%
1256;692;0.143%
196;689;0.143%
146;688;0.142%
143;676;0.14%
1295;664;0.137%
871;662;0.137%
1310;652;0.135%
216;643;0.133%
546;641;0.133%
569;627;0.13%
179;623;0.129%
200;622;0.129%
369;610;0.126%
480;609;0.126%
203;607;0.126%
939;603;0.125%
906;601;0.124%
1151;596;0.123%
348;581;0.12%
169;579;0.12%
158;574;0.119%
502;573;0.119%
181;562;0.116%
1248;552;0.114%
112;547;0.113%
141;538;0.111%
110;537;0.111%
105;536;0.111%
259;535;0.111%
769;533;0.11%
103;532;0.11%
214;532;0.11%
783;526;0.109%
1271;497;0.103%
764;494;0.102%
785;490;0.101%
1294;490;0.101%
1306;480;0.099%
1106;476;0.099%
806;476;0.099%
504;475;0.098%
14;475;0.098%
1117;464;0.096%
1119;459;0.095%
144;456;0.094%
1311;456;0.094%
470;449;0.093%
173;445;0.092%
154;429;0.089%
53;427;0.088%
1227;424;0.088%
219;423;0.088%
1222;421;0.087%
293;420;0.087%
32;417;0.086%
938;414;0.086%
372;411;0.085%
317;411;0.085%
371;411;0.085%
853;409;0.085%
919;404;0.084%
1108;396;0.082%
905;394;0.082%
949;390;0.081%
1153;389;0.081%
1104;386;0.08%
885;384;0.079%
1309;381;0.079%
1155;378;0.078%
1156;376;0.078%
1154;373;0.077%
1152;370;0.077%
241;363;0.075%
1289;361;0.075%
1131;360;0.075%
809;360;0.075%
481;355;0.073%
443;352;0.073%
929;351;0.073%
486;349;0.072%
198;348;0.072%
876;345;0.071%
503;345;0.071%
442;344;0.071%
787;343;0.071%
858;336;0.07%
1088;335;0.069%
114;335;0.069%
1115;334;0.069%
655;332;0.069%
220;331;0.069%
125;330;0.068%
854;329;0.068%
669;328;0.068%
39;316;0.065%
666;312;0.065%
1103;311;0.064%
288;307;0.064%
1118;305;0.063%
380;300;0.062%
1114;298;0.062%
921;298;0.062%
1107;297;0.061%
1160;296;0.061%
303;296;0.061%
984;291;0.06%
863;285;0.059%
172;280;0.058%
305;280;0.058%
406;278;0.058%
334;271;0.056%
297;269;0.056%
875;264;0.055%
38;260;0.054%
767;260;0.054%
1296;259;0.054%
792;259;0.054%
1303;256;0.053%
35;256;0.053%
301;254;0.053%
52;251;0.052%
674;250;0.052%
530;246;0.051%
894;246;0.051%
928;243;0.05%
676;236;0.049%
944;234;0.048%
559;233;0.048%
942;232;0.048%
292;225;0.047%
1116;225;0.047%
295;221;0.046%
1142;220;0.046%
1261;218;0.045%
1244;218;0.045%
888;217;0.045%
1060;215;0.045%
661;215;0.045%
1038;212;0.044%
1270;210;0.043%
1267;209;0.043%
501;208;0.043%
1057;207;0.043%
1179;206;0.043%
918;199;0.041%
659;198;0.041%
27;195;0.04%
460;194;0.04%
859;192;0.04%
459;192;0.04%
1318;191;0.04%
1332;190;0.039%
1143;190;0.039%
941;190;0.039%
856;188;0.039%
897;187;0.039%
183;184;0.038%
206;183;0.038%
1324;182;0.038%
899;181;0.037%
1159;181;0.037%
651;181;0.037%
891;180;0.037%
578;179;0.037%
349;179;0.037%
869;179;0.037%
209;178;0.037%
554;177;0.037%
571;175;0.036%
552;173;0.036%
581;172;0.036%
1148;172;0.036%
1186;171;0.035%
573;170;0.035%
1205;169;0.035%
1149;169;0.035%
185;167;0.035%
1081;166;0.034%
1185;164;0.034%
934;163;0.034%
170;161;0.033%
197;160;0.033%
1144;160;0.033%
877;158;0.033%
80;158;0.033%
864;157;0.032%
147;156;0.032%
1207;156;0.032%
47;154;0.032%
468;153;0.032%
1145;151;0.031%
1147;149;0.031%
1046;148;0.031%
319;147;0.03%
260;146;0.03%
1024;144;0.03%
304;144;0.03%
20;144;0.03%
1109;142;0.029%
499;142;0.029%
1113;141;0.029%
1105;141;0.029%
55;141;0.029%
180;137;0.028%
409;137;0.028%
1341;137;0.028%
124;136;0.028%
1320;135;0.028%
795;134;0.028%
1134;133;0.028%
1133;133;0.028%
408;133;0.028%
441;132;0.027%
51;131;0.027%
807;131;0.027%
152;128;0.026%
192;127;0.026%
1073;127;0.026%
212;126;0.026%
904;126;0.026%
951;125;0.026%
440;125;0.026%
1314;125;0.026%
302;124;0.026%
1204;123;0.025%
187;123;0.025%
318;122;0.025%
23;122;0.025%
1182;121;0.025%
1075;121;0.025%
247;121;0.025%
849;120;0.025%
296;119;0.025%
880;118;0.024%
808;117;0.024%
992;116;0.024%
242;115;0.024%
1055;114;0.024%
865;114;0.024%
311;113;0.023%
937;113;0.023%
289;112;0.023%
850;112;0.023%
59;111;0.023%
57;111;0.023%
240;109;0.023%
266;109;0.023%
439;108;0.022%
1053;107;0.022%
1026;107;0.022%
1059;106;0.022%
1062;104;0.022%
1336;104;0.022%
290;103;0.021%
622;103;0.021%
178;102;0.021%
627;102;0.021%
1292;101;0.021%
1298;101;0.021%
1014;101;0.021%
873;101;0.021%
752;101;0.021%
340;100;0.021%
494;100;0.021%
1264;100;0.021%
341;98;0.02%
213;98;0.02%
225;98;0.02%
782;96;0.02%
772;96;0.02%
908;95;0.02%
532;95;0.02%
1266;95;0.02%
226;94;0.019%
1034;93;0.019%
142;92;0.019%
1278;92;0.019%
190;90;0.019%
223;87;0.018%
1335;85;0.018%
1101;85;0.018%
1257;85;0.018%
1217;84;0.017%
45;83;0.017%
1330;81;0.017%
270;80;0.017%
1232;80;0.017%
191;80;0.017%
1229;80;0.017%
279;79;0.016%
1032;79;0.016%
780;78;0.016%
1058;78;0.016%
34;77;0.016%
766;77;0.016%
1263;77;0.016%
991;77;0.016%
1231;77;0.016%
956;76;0.016%
67;75;0.016%
1010;75;0.016%
662;75;0.016%
1228;74;0.015%
658;74;0.015%
29;73;0.015%
1047;73;0.015%
1225;73;0.015%
476;72;0.015%
109;71;0.015%
955;71;0.015%
1061;70;0.014%
1015;70;0.014%
1220;70;0.014%
66;69;0.014%
438;69;0.014%
1008;69;0.014%
437;69;0.014%
882;69;0.014%
1343;68;0.014%
1321;68;0.014%
910;67;0.014%
920;67;0.014%
1004;66;0.014%
1041;65;0.013%
140;65;0.013%
512;65;0.013%
1214;65;0.013%
903;64;0.013%
1333;64;0.013%
40;64;0.013%
1180;64;0.013%
1092;63;0.013%
671;62;0.013%
1181;62;0.013%
188;62;0.013%
108;62;0.013%
656;61;0.013%
498;61;0.013%
778;61;0.013%
1233;61;0.013%
1174;61;0.013%
101;61;0.013%
489;60;0.012%
1173;60;0.012%
104;60;0.012%
477;59;0.012%
1183;58;0.012%
4;58;0.012%
508;57;0.012%
851;57;0.012%
911;56;0.012%
765;56;0.012%
789;56;0.012%
660;55;0.011%
1285;54;0.011%
1044;53;0.011%
1281;53;0.011%
116;53;0.011%
1200;52;0.011%
653;52;0.011%
898;52;0.011%
1187;52;0.011%
479;52;0.011%
100;51;0.011%
1048;51;0.011%
998;51;0.011%
1203;51;0.011%
276;51;0.011%
788;51;0.011%
1022;51;0.011%
1331;50;0.01%
654;49;0.01%
507;49;0.01%
1031;49;0.01%
487;48;0.01%
931;48;0.01%
986;48;0.01%
1111;48;0.01%
954;47;0.01%
282;47;0.01%
1040;46;0.01%
963;46;0.01%
1018;46;0.01%
1287;46;0.01%
1039;46;0.01%
87;46;0.01%
1226;46;0.01%
958;45;0.009%
1216;45;0.009%
652;44;0.009%
1003;44;0.009%
127;44;0.009%
1097;43;0.009%
1036;43;0.009%
1293;43;0.009%
2;42;0.009%
268;42;0.009%
677;42;0.009%
16;41;0.008%
1042;41;0.008%
1094;41;0.008%
342;41;0.008%
24;41;0.008%
17;40;0.008%
1215;40;0.008%
1140;40;0.008%
1164;40;0.008%
909;40;0.008%
199;40;0.008%
1020;40;0.008%
96;39;0.008%
535;39;0.008%
1238;39;0.008%
417;39;0.008%
343;39;0.008%
26;39;0.008%
874;39;0.008%
675;39;0.008%
1280;38;0.008%
352;38;0.008%
568;38;0.008%
1286;38;0.008%
496;37;0.008%
1123;37;0.008%
557;37;0.008%
794;37;0.008%
867;37;0.008%
515;37;0.008%
1025;37;0.008%
275;37;0.008%
495;36;0.007%
1299;36;0.007%
1284;36;0.007%
239;36;0.007%
207;36;0.007%
1141;36;0.007%
13;36;0.007%
1224;35;0.007%
1219;35;0.007%
1178;35;0.007%
793;34;0.007%
1188;34;0.007%
1170;34;0.007%
1167;34;0.007%
560;34;0.007%
1163;34;0.007%
561;33;0.007%
328;33;0.007%
1054;32;0.007%
1052;32;0.007%
310;32;0.007%
1093;32;0.007%
384;32;0.007%
1051;32;0.007%
381;32;0.007%
238;32;0.007%
1297;32;0.007%
264;31;0.006%
618;31;0.006%
576;31;0.006%
1307;31;0.006%
149;31;0.006%
575;31;0.006%
1050;31;0.006%
277;31;0.006%
402;30;0.006%
598;30;0.006%
458;30;0.006%
1056;30;0.006%
562;30;0.006%
133;29;0.006%
1043;29;0.006%
987;29;0.006%
1304;29;0.006%
473;29;0.006%
218;29;0.006%
1282;29;0.006%
1315;28;0.006%
484;28;0.006%
719;28;0.006%
8;28;0.006%
775;28;0.006%
1009;28;0.006%
267;28;0.006%
524;28;0.006%
774;27;0.006%
204;27;0.006%
309;27;0.006%
358;27;0.006%
363;27;0.006%
272;27;0.006%
1338;26;0.005%
979;26;0.005%
97;26;0.005%
712;26;0.005%
1091;26;0.005%
1230;26;0.005%
251;26;0.005%
1283;26;0.005%
981;26;0.005%
9;26;0.005%
1319;25;0.005%
346;25;0.005%
544;25;0.005%
714;25;0.005%
556;25;0.005%
902;25;0.005%
988;25;0.005%
157;25;0.005%
74;25;0.005%
543;25;0.005%
75;25;0.005%
555;24;0.005%
716;24;0.005%
1316;24;0.005%
320;24;0.005%
1045;24;0.005%
1344;24;0.005%
493;23;0.005%
647;23;0.005%
822;23;0.005%
485;23;0.005%
265;23;0.005%
1192;23;0.005%
315;22;0.005%
563;22;0.005%
1096;22;0.005%
838;22;0.005%
130;22;0.005%
478;21;0.004%
538;21;0.004%
522;21;0.004%
250;21;0.004%
426;21;0.004%
648;21;0.004%
339;21;0.004%
1218;21;0.004%
985;21;0.004%
537;21;0.004%
475;21;0.004%
390;21;0.004%
472;21;0.004%
394;21;0.004%
596;21;0.004%
314;21;0.004%
1023;20;0.004%
1317;20;0.004%
163;20;0.004%
466;20;0.004%
287;20;0.004%
1011;20;0.004%
174;20;0.004%
6;20;0.004%
597;20;0.004%
436;20;0.004%
574;20;0.004%
845;20;0.004%
678;20;0.004%
280;19;0.004%
392;19;0.004%
531;19;0.004%
1158;19;0.004%
1030;19;0.004%
1194;19;0.004%
338;19;0.004%
529;19;0.004%
395;19;0.004%
814;19;0.004%
1007;19;0.004%
527;19;0.004%
434;19;0.004%
843;19;0.004%
490;19;0.004%
107;19;0.004%
89;19;0.004%
829;18;0.004%
447;18;0.004%
925;18;0.004%
88;18;0.004%
126;18;0.004%
980;18;0.004%
1028;18;0.004%
387;18;0.004%
815;17;0.004%
751;17;0.004%
549;17;0.004%
425;17;0.004%
1234;17;0.004%
454;17;0.004%
832;17;0.004%
286;17;0.004%
448;17;0.004%
356;17;0.004%
827;17;0.004%
1002;17;0.004%
195;17;0.004%
177;17;0.004%
743;17;0.004%
1027;17;0.004%
329;17;0.004%
528;17;0.004%
400;17;0.004%
291;16;0.003%
261;16;0.003%
299;16;0.003%
968;16;0.003%
927;16;0.003%
1259;16;0.003%
1249;16;0.003%
274;16;0.003%
890;16;0.003%
736;16;0.003%
816;16;0.003%
976;15;0.003%
159;15;0.003%
1189;15;0.003%
145;15;0.003%
1239;15;0.003%
1019;15;0.003%
375;15;0.003%
31;15;0.003%
397;15;0.003%
1012;15;0.003%
731;15;0.003%
148;15;0.003%
221;15;0.003%
254;15;0.003%
386;14;0.003%
30;14;0.003%
373;14;0.003%
351;14;0.003%
453;14;0.003%
1236;14;0.003%
76;14;0.003%
385;14;0.003%
550;14;0.003%
629;14;0.003%
724;14;0.003%
283;14;0.003%
847;14;0.003%
917;14;0.003%
701;14;0.003%
156;13;0.003%
995;13;0.003%
841;13;0.003%
374;13;0.003%
692;13;0.003%
558;13;0.003%
887;13;0.003%
624;13;0.003%
361;13;0.003%
488;12;0.002%
505;12;0.002%
269;12;0.002%
345;12;0.002%
634;12;0.002%
228;12;0.002%
162;12;0.002%
298;12;0.002%
645;12;0.002%
1029;12;0.002%
997;12;0.002%
258;12;0.002%
326;12;0.002%
999;12;0.002%
323;12;0.002%
122;12;0.002%
353;12;0.002%
536;12;0.002%
638;12;0.002%
332;12;0.002%
444;11;0.002%
344;11;0.002%
579;11;0.002%
227;11;0.002%
102;11;0.002%
994;11;0.002%
483;11;0.002%
467;11;0.002%
164;11;0.002%
623;11;0.002%
482;11;0.002%
307;11;0.002%
449;11;0.002%
1013;11;0.002%
709;10;0.002%
953;10;0.002%
990;10;0.002%
637;10;0.002%
672;10;0.002%
281;10;0.002%
567;10;0.002%
708;10;0.002%
316;10;0.002%
1254;10;0.002%
21;10;0.002%
1132;10;0.002%
935;10;0.002%
79;10;0.002%
1068;10;0.002%
972;9;0.002%
427;9;0.002%
577;9;0.002%
135;9;0.002%
566;9;0.002%
565;9;0.002%
1199;9;0.002%
966;9;0.002%
273;9;0.002%
313;9;0.002%
1327;9;0.002%
134;9;0.002%
90;9;0.002%
657;8;0.002%
1241;8;0.002%
175;8;0.002%
650;8;0.002%
744;8;0.002%
73;8;0.002%
970;8;0.002%
208;8;0.002%
564;8;0.002%
184;8;0.002%
723;8;0.002%
950;8;0.002%
65;8;0.002%
1169;8;0.002%
673;8;0.002%
160;8;0.002%
663;8;0.002%
404;8;0.002%
784;8;0.002%
969;8;0.002%
738;8;0.002%
463;8;0.002%
1000;8;0.002%
405;8;0.002%
583;8;0.002%
745;8;0.002%
993;8;0.002%
1328;8;0.002%
1110;8;0.002%
728;8;0.002%
729;8;0.002%
1001;8;0.002%
971;8;0.002%
761;8;0.002%
959;8;0.002%
403;8;0.002%
85;7;0.001%
725;7;0.001%
1195;7;0.001%
36;7;0.001%
916;7;0.001%
161;7;0.001%
168;7;0.001%
547;7;0.001%
70;7;0.001%
727;7;0.001%
106;7;0.001%
613;7;0.001%
419;7;0.001%
1016;7;0.001%
740;7;0.001%
284;7;0.001%
587;7;0.001%
912;7;0.001%
707;7;0.001%
757;7;0.001%
603;7;0.001%
81;7;0.001%
1166;7;0.001%
60;7;0.001%
445;7;0.001%
572;7;0.001%
61;7;0.001%
98;7;0.001%
924;7;0.001%
1208;7;0.001%
680;6;0.001%
705;6;0.001%
570;6;0.001%
330;6;0.001%
868;6;0.001%
255;6;0.001%
771;6;0.001%
1337;6;0.001%
1172;6;0.001%
878;6;0.001%
62;6;0.001%
973;6;0.001%
271;6;0.001%
946;6;0.001%
889;6;0.001%
621;6;0.001%
710;6;0.001%
866;6;0.001%
71;6;0.001%
336;6;0.001%
396;6;0.001%
1127;6;0.001%
580;6;0.001%
534;6;0.001%
398;6;0.001%
805;6;0.001%
700;6;0.001%
722;6;0.001%
642;5;0.001%
837;5;0.001%
308;5;0.001%
510;5;0.001%
533;5;0.001%
58;5;0.001%
77;5;0.001%
601;5;0.001%
607;5;0.001%
257;5;0.001%
1243;5;0.001%
726;5;0.001%
83;5;0.001%
150;5;0.001%
754;5;0.001%
915;5;0.001%
418;5;0.001%
121;5;0.001%
335;5;0.001%
842;5;0.001%
224;5;0.001%
943;5;0.001%
446;5;0.001%
913;5;0.001%
93;5;0.001%
514;5;0.001%
1339;5;0.001%
755;5;0.001%
691;5;0.001%
582;5;0.001%
1240;5;0.001%
720;5;0.001%
926;5;0.001%
234;5;0.001%
1084;5;0.001%
818;5;0.001%
118;5;0.001%
423;5;0.001%
668;5;0.001%
936;5;0.001%
86;5;0.001%
452;5;0.001%
1196;5;0.001%
641;5;0.001%
393;5;0.001%
312;5;0.001%
92;5;0.001%
643;5;0.001%
644;5;0.001%
1099;4;0.001%
1198;4;0.001%
331;4;0.001%
960;4;0.001%
506;4;0.001%
681;4;0.001%
825;4;0.001%
802;4;0.001%
350;4;0.001%
706;4;0.001%
117;4;0.001%
1340;4;0.001%
1326;4;0.001%
753;4;0.001%
684;4;0.001%
779;4;0.001%
600;4;0.001%
253;4;0.001%
416;4;0.001%
799;4;0.001%
588;4;0.001%
252;4;0.001%
636;4;0.001%
1067;4;0.001%
589;4;0.001%
165;4;0.001%
113;4;0.001%
1069;4;0.001%
399;4;0.001%
824;4;0.001%
511;4;0.001%
1100;4;0.001%
619;4;0.001%
1197;4;0.001%
975;4;0.001%
509;4;0.001%
798;4;0.001%
699;4;0.001%
682;4;0.001%
982;4;0.001%
810;4;0.001%
857;4;0.001%
593;4;0.001%
229;4;0.001%
422;4;0.001%
202;4;0.001%
974;4;0.001%
686;4;0.001%
834;4;0.001%
585;4;0.001%
756;4;0.001%
155;4;0.001%
171;4;0.001%
1082;4;0.001%
813;4;0.001%
210;4;0.001%
594;4;0.001%
362;4;0.001%
695;4;0.001%
914;4;0.001%
262;4;0.001%
1035;4;0.001%
664;3;0.001%
826;3;0.001%
137;3;0.001%
337;3;0.001%
632;3;0.001%
1076;3;0.001%
333;3;0.001%
996;3;0.001%
376;3;0.001%
665;3;0.001%
435;3;0.001%
758;3;0.001%
548;3;0.001%
828;3;0.001%
791;3;0.001%
367;3;0.001%
1087;3;0.001%
1268;3;0.001%
1095;3;0.001%
249;3;0.001%
222;3;0.001%
742;3;0.001%
5;3;0.001%
848;3;0.001%
500;3;0.001%
721;3;0.001%
1006;3;0.001%
635;3;0.001%
1086;3;0.001%
625;3;0.001%
1150;3;0.001%
759;3;0.001%
628;3;0.001%
739;3;0.001%
733;3;0.001%
1171;3;0.001%
120;3;0.001%
1005;3;0.001%
236;3;0.001%
365;3;0.001%
687;3;0.001%
391;3;0.001%
702;3;0.001%
796;3;0.001%
820;3;0.001%
325;3;0.001%
1083;3;0.001%
545;3;0.001%
964;3;0.001%
327;3;0.001%
690;3;0.001%
819;3;0.001%
697;3;0.001%
1138;3;0.001%
233;3;0.001%
768;2;0.0%
420;2;0.0%
541;2;0.0%
521;2;0.0%
821;2;0.0%
526;2;0.0%
451;2;0.0%
760;2;0.0%
132;2;0.0%
429;2;0.0%
364;2;0.0%
646;2;0.0%
639;2;0.0%
1184;2;0.0%
1017;2;0.0%
91;2;0.0%
539;2;0.0%
551;2;0.0%
617;2;0.0%
1077;2;0.0%
428;2;0.0%
462;2;0.0%
131;2;0.0%
12;2;0.0%
205;2;0.0%
235;2;0.0%
540;2;0.0%
630;2;0.0%
605;2;0.0%
542;2;0.0%
256;2;0.0%
839;2;0.0%
412;2;0.0%
626;2;0.0%
1161;2;0.0%
1137;2;0.0%
1237;2;0.0%
359;2;0.0%
355;2;0.0%
844;2;0.0%
139;2;0.0%
244;2;0.0%
586;2;0.0%
136;2;0.0%
25;2;0.0%
1165;2;0.0%
415;2;0.0%
592;2;0.0%
606;2;0.0%
640;2;0.0%
72;2;0.0%
294;2;0.0%
836;2;0.0%
354;2;0.0%
797;2;0.0%
1213;2;0.0%
176;2;0.0%
231;2;0.0%
245;2;0.0%
424;2;0.0%
450;2;0.0%
741;2;0.0%
1085;2;0.0%
324;2;0.0%
631;2;0.0%
614;2;0.0%
1064;2;0.0%
762;2;0.0%
633;2;0.0%
696;2;0.0%
1177;2;0.0%
357;2;0.0%
151;2;0.0%
166;2;0.0%
811;2;0.0%
608;2;0.0%
553;2;0.0%
732;2;0.0%
649;2;0.0%
347;2;0.0%
15;2;0.0%
846;2;0.0%
737;2;0.0%
1072;2;0.0%
730;2;0.0%
525;2;0.0%
464;2;0.0%
1089;2;0.0%
246;2;0.0%
620;2;0.0%
10;2;0.0%
689;2;0.0%
1210;1;0.0%
520;1;0.0%
518;1;0.0%
961;1;0.0%
366;1;0.0%
694;1;0.0%
360;1;0.0%
1071;1;0.0%
901;1;0.0%
128;1;0.0%
713;1;0.0%
78;1;0.0%
584;1;0.0%
734;1;0.0%
516;1;0.0%
69;1;0.0%
201;1;0.0%
840;1;0.0%
967;1;0.0%
492;1;0.0%
718;1;0.0%
1065;1;0.0%
923;1;0.0%
704;1;0.0%
421;1;0.0%
368;1;0.0%
685;1;0.0%
978;1;0.0%
804;1;0.0%
186;1;0.0%
1162;1;0.0%
595;1;0.0%
410;1;0.0%
322;1;0.0%
1251;1;0.0%
401;1;0.0%
1202;1;0.0%
321;1;0.0%
823;1;0.0%
388;1;0.0%
831;1;0.0%
433;1;0.0%
615;1;0.0%
457;1;0.0%
683;1;0.0%
232;1;0.0%
211;1;0.0%
94;1;0.0%
1066;1;0.0%
230;1;0.0%
414;1;0.0%
382;1;0.0%
1209;1;0.0%
965;1;0.0%
817;1;0.0%
879;1;0.0%
599;1;0.0%
129;1;0.0%
379;1;0.0%
497;1;0.0%
389;1;0.0%
517;1;0.0%
153;1;0.0%
167;1;0.0%
491;1;0.0%
119;1;0.0%
977;1;0.0%
84;1;0.0%
1191;1;0.0%
456;1;0.0%
64;1;0.0%
370;1;0.0%
383;1;0.0%
82;1;0.0%
1211;1;0.0%
803;1;0.0%
1074;1;0.0%
1;1;0.0%
983;1;0.0%
711;1;0.0%
68;1;0.0%
833;1;0.0%
95;1;0.0%
519;1;0.0%
455;1;0.0%
800;1;0.0%
523;1;0.0%
263;1;0.0%
138;1;0.0%
63;1;0.0%
182;1;0.0%
430;1;0.0%
411;1;0.0%
461;1;0.0%
1252;1;0.0%
1253;1;0.0%
248;1;0.0%
11;1;0.0%
750;1;0.0%
748;1;0.0%
735;1;0.0%
835;1;0.0%
1063;1;0.0%
1070;1;0.0%
679;1;0.0%
602;1;0.0%
616;1;0.0%
611;1;0.0%
790;1;0.0%
469;1;0.0%
688;1;0.0%
377;1;0.0%
413;1;0.0%
237;1;0.0%
378;1;0.0%
591;1;0.0%
431;1;0.0%
465;1;0.0%
432;1;0.0%
703;1;0.0%
812;1;0.0%
612;1;0.0%
407;1;0.0%
609;1;0.0%
1098;1;0.0%
746;1;0.0%
604;1;0.0%
590;1;0.0%
1242;1;0.0%
513;1;0.0%
194;1;0.0%
830;1;0.0%
957;1;0.0%
1102;1;0.0%
717;1;0.0%
99;1;0.0%
749;1;0.0%
1206;1;0.0%
715;1;0.0%
747;1;0.0%
0;1;0.0%
610;1;0.0%
1193;1;0.0%
123;1;0.0%
total_triples;483142;100%
