entity_id;total_amount_of_triples;relative_amount_of_triples
9888;291;0.06%
1084;289;0.06%
4285;289;0.06%
3227;287;0.059%
13274;286;0.059%
8911;284;0.059%
804;284;0.059%
3193;283;0.059%
9092;282;0.058%
9872;282;0.058%
339;282;0.058%
8876;280;0.058%
81;278;0.058%
8897;278;0.058%
11165;277;0.057%
775;277;0.057%
7755;277;0.057%
9030;277;0.057%
7533;275;0.057%
1358;274;0.057%
14769;273;0.057%
11100;273;0.057%
11334;273;0.057%
94;271;0.056%
7522;271;0.056%
11939;271;0.056%
13927;269;0.056%
12941;269;0.056%
9802;267;0.055%
317;266;0.055%
10349;266;0.055%
9236;265;0.055%
222;265;0.055%
13809;263;0.054%
13281;262;0.054%
10545;262;0.054%
3415;261;0.054%
13420;260;0.054%
6449;260;0.054%
4400;260;0.054%
14822;259;0.054%
768;258;0.053%
170;258;0.053%
10888;258;0.053%
14580;257;0.053%
6348;256;0.053%
9772;255;0.053%
6779;255;0.053%
4228;253;0.052%
1357;252;0.052%
6608;252;0.052%
9091;252;0.052%
854;252;0.052%
13535;251;0.052%
9985;251;0.052%
9089;251;0.052%
6635;250;0.052%
977;250;0.052%
741;250;0.052%
12332;249;0.052%
3253;249;0.052%
14067;249;0.052%
6414;249;0.052%
13586;249;0.052%
9472;247;0.051%
9900;247;0.051%
2461;247;0.051%
69;247;0.051%
1463;246;0.051%
13794;246;0.051%
134;246;0.051%
9628;246;0.051%
14414;246;0.051%
14761;245;0.051%
747;244;0.051%
11279;243;0.05%
265;243;0.05%
765;243;0.05%
9078;243;0.05%
1676;243;0.05%
8576;241;0.05%
14609;241;0.05%
13236;241;0.05%
4231;241;0.05%
3395;240;0.05%
14084;239;0.049%
2969;239;0.049%
9541;238;0.049%
11549;238;0.049%
774;238;0.049%
9873;237;0.049%
13532;237;0.049%
10350;237;0.049%
10897;236;0.049%
10514;236;0.049%
4373;235;0.049%
9384;234;0.048%
6677;234;0.048%
9444;234;0.048%
2406;234;0.048%
13018;234;0.048%
11333;234;0.048%
13286;233;0.048%
2661;233;0.048%
4960;233;0.048%
9891;233;0.048%
6047;232;0.048%
8962;231;0.048%
9439;231;0.048%
13577;230;0.048%
3125;230;0.048%
3247;230;0.048%
9453;230;0.048%
12844;229;0.047%
4312;229;0.047%
10561;229;0.047%
6136;228;0.047%
6922;228;0.047%
9152;228;0.047%
8734;228;0.047%
764;228;0.047%
11427;228;0.047%
443;227;0.047%
3667;227;0.047%
3926;226;0.047%
6665;226;0.047%
788;226;0.047%
12665;226;0.047%
1259;225;0.047%
3766;225;0.047%
12677;224;0.046%
5477;224;0.046%
13408;224;0.046%
1365;222;0.046%
1038;222;0.046%
99;222;0.046%
544;222;0.046%
2993;222;0.046%
6203;221;0.046%
9455;221;0.046%
13595;221;0.046%
140;221;0.046%
9087;220;0.046%
9448;220;0.046%
7849;220;0.046%
14742;220;0.046%
13569;220;0.046%
4147;219;0.045%
6152;219;0.045%
3273;219;0.045%
331;219;0.045%
2741;218;0.045%
12008;218;0.045%
12129;218;0.045%
1540;218;0.045%
10629;217;0.045%
480;217;0.045%
3195;217;0.045%
11799;216;0.045%
1035;216;0.045%
2163;216;0.045%
70;216;0.045%
2906;215;0.045%
11998;215;0.045%
4229;215;0.045%
7818;215;0.045%
6852;215;0.045%
8756;214;0.044%
1568;214;0.044%
6408;214;0.044%
2119;214;0.044%
9039;214;0.044%
1011;213;0.044%
7820;213;0.044%
2156;213;0.044%
6202;213;0.044%
5616;212;0.044%
10780;211;0.044%
1356;211;0.044%
10450;211;0.044%
10970;211;0.044%
14446;211;0.044%
1132;210;0.043%
2590;210;0.043%
14538;210;0.043%
7268;210;0.043%
2335;209;0.043%
13331;209;0.043%
1590;209;0.043%
1033;209;0.043%
7485;209;0.043%
2450;208;0.043%
1361;208;0.043%
2251;208;0.043%
3408;208;0.043%
2475;208;0.043%
9839;208;0.043%
862;207;0.043%
8880;207;0.043%
7210;207;0.043%
7170;207;0.043%
3242;207;0.043%
8631;207;0.043%
14702;206;0.043%
14328;206;0.043%
9890;205;0.042%
14296;205;0.042%
3633;205;0.042%
9879;205;0.042%
14110;205;0.042%
9928;205;0.042%
9887;204;0.042%
3201;204;0.042%
13327;203;0.042%
1034;203;0.042%
9107;202;0.042%
4063;202;0.042%
3396;202;0.042%
12784;202;0.042%
12063;201;0.042%
11290;201;0.042%
3662;201;0.042%
11396;200;0.041%
1030;200;0.041%
9525;200;0.041%
829;200;0.041%
5774;200;0.041%
9874;200;0.041%
2476;199;0.041%
230;199;0.041%
3234;199;0.041%
2723;199;0.041%
149;198;0.041%
2998;198;0.041%
1712;198;0.041%
2284;198;0.041%
8930;198;0.041%
3814;198;0.041%
896;197;0.041%
6980;197;0.041%
150;197;0.041%
8268;197;0.041%
5979;197;0.041%
6200;197;0.041%
7813;196;0.041%
4856;196;0.041%
9537;196;0.041%
8016;196;0.041%
3383;196;0.041%
3414;196;0.041%
5004;195;0.04%
2644;195;0.04%
580;195;0.04%
9702;195;0.04%
2688;195;0.04%
7254;195;0.04%
8617;195;0.04%
9008;194;0.04%
10281;194;0.04%
1265;194;0.04%
1863;194;0.04%
12186;194;0.04%
11967;194;0.04%
13359;194;0.04%
6494;193;0.04%
12633;193;0.04%
11085;193;0.04%
11353;193;0.04%
12288;193;0.04%
14103;192;0.04%
10501;192;0.04%
12631;192;0.04%
13064;192;0.04%
4035;192;0.04%
9014;192;0.04%
1973;192;0.04%
6988;192;0.04%
2628;192;0.04%
1039;191;0.04%
2428;191;0.04%
907;191;0.04%
4230;191;0.04%
4946;191;0.04%
4178;191;0.04%
8523;191;0.04%
14861;191;0.04%
13691;191;0.04%
3068;191;0.04%
9691;190;0.039%
10947;190;0.039%
12634;190;0.039%
7399;190;0.039%
13791;189;0.039%
4244;189;0.039%
10954;189;0.039%
4959;189;0.039%
7252;189;0.039%
7969;189;0.039%
1409;188;0.039%
12974;188;0.039%
1022;188;0.039%
479;188;0.039%
2460;188;0.039%
12982;188;0.039%
3239;188;0.039%
7675;187;0.039%
12026;187;0.039%
12374;187;0.039%
14334;187;0.039%
3579;186;0.038%
4418;186;0.038%
12723;186;0.038%
11138;186;0.038%
10040;186;0.038%
13937;186;0.038%
11124;186;0.038%
3929;185;0.038%
7079;185;0.038%
8147;185;0.038%
13190;185;0.038%
3495;185;0.038%
3392;185;0.038%
11550;185;0.038%
8674;185;0.038%
13357;185;0.038%
12308;185;0.038%
3268;184;0.038%
13283;184;0.038%
13695;184;0.038%
1154;184;0.038%
14691;184;0.038%
7089;184;0.038%
8800;183;0.038%
3826;183;0.038%
14127;183;0.038%
3115;183;0.038%
5357;183;0.038%
12028;183;0.038%
8033;182;0.038%
9898;182;0.038%
3059;182;0.038%
9644;182;0.038%
14886;182;0.038%
9779;182;0.038%
3082;182;0.038%
4262;181;0.037%
9351;181;0.037%
12756;181;0.037%
9386;181;0.037%
2093;181;0.037%
3747;181;0.037%
2599;181;0.037%
13853;181;0.037%
11647;181;0.037%
10866;181;0.037%
13264;180;0.037%
9013;180;0.037%
11281;180;0.037%
2580;180;0.037%
13622;180;0.037%
3904;180;0.037%
5276;179;0.037%
250;179;0.037%
12047;179;0.037%
7364;179;0.037%
13879;179;0.037%
1656;179;0.037%
8229;179;0.037%
971;178;0.037%
2384;178;0.037%
4442;178;0.037%
5787;178;0.037%
2506;178;0.037%
3470;178;0.037%
12174;177;0.037%
9919;177;0.037%
6972;177;0.037%
11588;176;0.036%
10777;176;0.036%
1336;176;0.036%
9983;176;0.036%
14551;175;0.036%
11341;175;0.036%
3346;175;0.036%
1337;175;0.036%
14269;175;0.036%
4233;174;0.036%
7841;174;0.036%
3797;174;0.036%
6928;174;0.036%
2713;174;0.036%
8385;174;0.036%
1414;174;0.036%
14719;174;0.036%
6954;174;0.036%
5323;174;0.036%
14460;173;0.036%
6938;173;0.036%
11207;173;0.036%
8522;172;0.036%
13644;172;0.036%
14844;172;0.036%
11786;172;0.036%
3505;172;0.036%
12474;171;0.035%
1473;171;0.035%
8415;170;0.035%
8777;170;0.035%
3004;170;0.035%
13100;170;0.035%
422;170;0.035%
3873;170;0.035%
6943;170;0.035%
4857;170;0.035%
8797;169;0.035%
8554;169;0.035%
3714;169;0.035%
11431;168;0.035%
9334;168;0.035%
6114;168;0.035%
12077;168;0.035%
8515;168;0.035%
9871;168;0.035%
711;167;0.035%
2997;167;0.035%
9956;167;0.035%
1186;167;0.035%
4245;166;0.034%
9297;166;0.034%
10089;166;0.034%
8819;166;0.034%
8129;166;0.034%
9033;166;0.034%
11327;166;0.034%
14506;166;0.034%
12902;166;0.034%
7474;166;0.034%
1558;166;0.034%
11269;165;0.034%
1974;165;0.034%
11349;165;0.034%
11301;165;0.034%
12983;165;0.034%
7652;165;0.034%
3736;165;0.034%
642;165;0.034%
9773;164;0.034%
4860;164;0.034%
11413;164;0.034%
3163;164;0.034%
6033;164;0.034%
3930;164;0.034%
14104;164;0.034%
13761;164;0.034%
6897;164;0.034%
3262;164;0.034%
13303;163;0.034%
5886;163;0.034%
1809;163;0.034%
10612;163;0.034%
10250;163;0.034%
10918;163;0.034%
8688;163;0.034%
3535;163;0.034%
11130;163;0.034%
14740;163;0.034%
11117;162;0.034%
11980;162;0.034%
10319;162;0.034%
12277;162;0.034%
1320;162;0.034%
8568;162;0.034%
7776;162;0.034%
950;161;0.033%
10122;161;0.033%
13657;161;0.033%
14872;161;0.033%
9404;161;0.033%
13994;161;0.033%
13831;161;0.033%
12021;161;0.033%
4324;160;0.033%
2474;160;0.033%
6923;160;0.033%
186;160;0.033%
14340;160;0.033%
7375;160;0.033%
934;160;0.033%
3341;160;0.033%
13556;160;0.033%
9880;160;0.033%
12541;160;0.033%
9953;160;0.033%
2509;160;0.033%
1125;159;0.033%
5642;159;0.033%
2285;159;0.033%
1385;159;0.033%
11214;159;0.033%
11857;159;0.033%
13777;159;0.033%
10658;159;0.033%
14221;159;0.033%
13445;159;0.033%
1535;158;0.033%
10939;158;0.033%
8682;158;0.033%
11219;158;0.033%
4259;158;0.033%
133;158;0.033%
9594;158;0.033%
4327;158;0.033%
4084;158;0.033%
12150;158;0.033%
9789;158;0.033%
12928;158;0.033%
294;157;0.032%
8658;157;0.032%
3203;157;0.032%
13416;157;0.032%
7761;157;0.032%
9362;157;0.032%
13564;157;0.032%
11544;157;0.032%
12397;157;0.032%
1353;157;0.032%
7668;157;0.032%
1122;156;0.032%
46;156;0.032%
1211;156;0.032%
5189;156;0.032%
5843;156;0.032%
3657;156;0.032%
14897;156;0.032%
2419;156;0.032%
3099;156;0.032%
13363;156;0.032%
6963;156;0.032%
8262;155;0.032%
14866;155;0.032%
8684;155;0.032%
6924;155;0.032%
11265;155;0.032%
4112;155;0.032%
7159;155;0.032%
5450;155;0.032%
10595;155;0.032%
11461;154;0.032%
14790;154;0.032%
13659;154;0.032%
14266;154;0.032%
13588;154;0.032%
6442;154;0.032%
10452;154;0.032%
5207;154;0.032%
14745;154;0.032%
11375;154;0.032%
6784;154;0.032%
9083;154;0.032%
14378;154;0.032%
3048;153;0.032%
6390;153;0.032%
535;153;0.032%
2010;153;0.032%
12782;153;0.032%
10854;153;0.032%
4911;153;0.032%
9143;153;0.032%
11312;153;0.032%
1241;152;0.031%
13413;152;0.031%
6444;152;0.031%
2806;152;0.031%
10699;152;0.031%
6587;152;0.031%
2717;152;0.031%
11972;151;0.031%
5210;151;0.031%
2263;151;0.031%
14553;151;0.031%
3722;151;0.031%
13474;151;0.031%
6021;151;0.031%
13107;151;0.031%
1541;151;0.031%
8649;151;0.031%
1449;151;0.031%
14765;151;0.031%
3417;151;0.031%
7131;150;0.031%
12360;150;0.031%
14736;150;0.031%
4104;150;0.031%
8092;150;0.031%
14368;150;0.031%
13886;150;0.031%
11096;149;0.031%
6606;149;0.031%
13306;149;0.031%
4781;149;0.031%
7750;149;0.031%
12771;149;0.031%
2021;149;0.031%
2370;149;0.031%
8678;149;0.031%
5307;149;0.031%
6990;149;0.031%
3388;148;0.031%
3889;148;0.031%
3162;148;0.031%
14688;148;0.031%
6901;148;0.031%
11435;148;0.031%
14806;148;0.031%
380;148;0.031%
8722;148;0.031%
8820;148;0.031%
9149;148;0.031%
13538;148;0.031%
14859;147;0.03%
6544;147;0.03%
1413;147;0.03%
10009;147;0.03%
6036;147;0.03%
9792;147;0.03%
4274;147;0.03%
7103;147;0.03%
1468;147;0.03%
10226;147;0.03%
12;147;0.03%
12169;146;0.03%
3429;146;0.03%
14931;146;0.03%
3304;146;0.03%
6668;146;0.03%
4390;146;0.03%
163;146;0.03%
12278;146;0.03%
2388;146;0.03%
12385;145;0.03%
8845;145;0.03%
9409;145;0.03%
10730;145;0.03%
3106;145;0.03%
2064;145;0.03%
6096;145;0.03%
8184;145;0.03%
11897;145;0.03%
4070;145;0.03%
5287;144;0.03%
12481;144;0.03%
9034;144;0.03%
9037;144;0.03%
7284;144;0.03%
8685;144;0.03%
8139;144;0.03%
14894;144;0.03%
9823;143;0.03%
13322;143;0.03%
1649;143;0.03%
5293;143;0.03%
7752;143;0.03%
10605;143;0.03%
4880;143;0.03%
13785;143;0.03%
1221;143;0.03%
11255;143;0.03%
12390;143;0.03%
1687;143;0.03%
3244;143;0.03%
3360;143;0.03%
4987;142;0.029%
357;142;0.029%
9207;142;0.029%
12536;142;0.029%
11838;142;0.029%
11153;142;0.029%
1894;142;0.029%
13193;142;0.029%
5649;142;0.029%
13812;142;0.029%
9119;141;0.029%
13857;141;0.029%
14770;141;0.029%
1423;141;0.029%
10311;141;0.029%
7431;141;0.029%
6205;141;0.029%
7388;141;0.029%
5901;141;0.029%
14377;141;0.029%
7763;141;0.029%
12549;140;0.029%
3476;140;0.029%
7471;140;0.029%
7477;140;0.029%
103;140;0.029%
7036;140;0.029%
3813;140;0.029%
1976;140;0.029%
10510;140;0.029%
9059;140;0.029%
3442;140;0.029%
10131;140;0.029%
1574;140;0.029%
6945;140;0.029%
195;140;0.029%
2650;140;0.029%
2009;140;0.029%
2049;140;0.029%
2672;140;0.029%
3532;140;0.029%
6084;139;0.029%
3648;139;0.029%
14020;139;0.029%
2045;139;0.029%
9395;139;0.029%
2073;139;0.029%
13423;139;0.029%
8265;139;0.029%
8976;139;0.029%
3356;139;0.029%
8726;138;0.029%
11632;138;0.029%
10560;138;0.029%
4260;138;0.029%
3278;138;0.029%
10547;138;0.029%
7051;138;0.029%
875;138;0.029%
8618;138;0.029%
1979;138;0.029%
12689;138;0.029%
12857;138;0.029%
538;138;0.029%
1977;138;0.029%
14087;137;0.028%
10182;137;0.028%
12507;137;0.028%
9894;137;0.028%
6356;137;0.028%
11567;137;0.028%
8948;137;0.028%
1704;136;0.028%
6056;136;0.028%
14023;136;0.028%
7262;136;0.028%
14021;136;0.028%
12898;136;0.028%
8970;136;0.028%
1504;136;0.028%
7285;136;0.028%
14848;136;0.028%
3124;136;0.028%
14750;136;0.028%
13669;135;0.028%
3492;135;0.028%
8529;135;0.028%
9786;135;0.028%
5480;135;0.028%
2180;135;0.028%
3175;135;0.028%
1327;135;0.028%
3381;134;0.028%
227;134;0.028%
5003;134;0.028%
2401;134;0.028%
11099;134;0.028%
11419;134;0.028%
8195;134;0.028%
416;134;0.028%
12719;134;0.028%
11609;134;0.028%
5384;134;0.028%
8611;134;0.028%
9747;134;0.028%
3200;134;0.028%
2295;134;0.028%
3903;133;0.028%
12801;133;0.028%
2465;133;0.028%
3888;133;0.028%
5306;133;0.028%
2272;133;0.028%
12403;133;0.028%
12355;133;0.028%
5292;133;0.028%
13901;133;0.028%
8687;133;0.028%
11852;133;0.028%
1843;133;0.028%
12716;133;0.028%
13911;132;0.027%
14600;132;0.027%
673;132;0.027%
11486;132;0.027%
12584;132;0.027%
12086;132;0.027%
8971;132;0.027%
1770;132;0.027%
12979;132;0.027%
13435;132;0.027%
6080;132;0.027%
10090;132;0.027%
12108;132;0.027%
8007;132;0.027%
14475;132;0.027%
7935;132;0.027%
2427;131;0.027%
7283;131;0.027%
8509;131;0.027%
10137;131;0.027%
824;131;0.027%
14288;131;0.027%
12655;131;0.027%
13776;131;0.027%
777;131;0.027%
2282;131;0.027%
12478;131;0.027%
12469;131;0.027%
5599;131;0.027%
13173;130;0.027%
3931;130;0.027%
670;130;0.027%
12269;130;0.027%
1040;130;0.027%
11708;130;0.027%
12130;130;0.027%
2719;130;0.027%
6709;130;0.027%
12242;130;0.027%
11405;130;0.027%
12996;130;0.027%
6008;130;0.027%
3824;130;0.027%
7884;130;0.027%
887;130;0.027%
75;130;0.027%
12029;130;0.027%
3497;130;0.027%
6128;129;0.027%
4343;129;0.027%
5190;129;0.027%
7513;129;0.027%
1074;129;0.027%
12736;129;0.027%
11306;129;0.027%
14044;129;0.027%
7058;129;0.027%
5536;129;0.027%
4071;129;0.027%
12870;129;0.027%
7169;129;0.027%
7467;129;0.027%
14815;129;0.027%
2865;129;0.027%
6630;129;0.027%
8128;128;0.026%
8524;128;0.026%
11359;128;0.026%
6502;128;0.026%
8997;128;0.026%
11952;128;0.026%
2087;128;0.026%
212;128;0.026%
3647;128;0.026%
1530;128;0.026%
7602;128;0.026%
5392;128;0.026%
11825;128;0.026%
7754;128;0.026%
8272;128;0.026%
11063;127;0.026%
14726;127;0.026%
6982;127;0.026%
9828;127;0.026%
3980;127;0.026%
8679;127;0.026%
7979;127;0.026%
4691;127;0.026%
6058;127;0.026%
841;127;0.026%
14791;127;0.026%
13340;127;0.026%
11205;127;0.026%
3489;127;0.026%
3654;127;0.026%
11619;126;0.026%
9734;126;0.026%
2818;126;0.026%
13439;126;0.026%
9476;126;0.026%
10285;126;0.026%
11507;126;0.026%
4709;126;0.026%
14932;126;0.026%
14069;126;0.026%
835;126;0.026%
397;126;0.026%
5833;125;0.026%
6368;125;0.026%
9763;125;0.026%
7472;125;0.026%
5184;125;0.026%
8118;125;0.026%
14257;125;0.026%
297;125;0.026%
3871;125;0.026%
9342;125;0.026%
878;125;0.026%
7518;125;0.026%
10665;124;0.026%
718;124;0.026%
10916;124;0.026%
9944;124;0.026%
8530;124;0.026%
14363;124;0.026%
6027;124;0.026%
8965;124;0.026%
14705;124;0.026%
1210;124;0.026%
1528;124;0.026%
546;124;0.026%
14927;124;0.026%
2785;124;0.026%
11849;124;0.026%
9643;123;0.025%
1267;123;0.025%
2340;123;0.025%
5677;123;0.025%
7538;123;0.025%
1810;123;0.025%
14559;123;0.025%
417;123;0.025%
8640;123;0.025%
137;123;0.025%
10021;123;0.025%
593;122;0.025%
13206;122;0.025%
111;122;0.025%
575;122;0.025%
7691;122;0.025%
8491;122;0.025%
4320;122;0.025%
8563;122;0.025%
13305;122;0.025%
10383;122;0.025%
4102;122;0.025%
7369;122;0.025%
11528;122;0.025%
9757;122;0.025%
3679;122;0.025%
7247;122;0.025%
8063;122;0.025%
324;122;0.025%
14413;122;0.025%
8666;122;0.025%
14033;122;0.025%
11285;122;0.025%
3629;122;0.025%
12398;122;0.025%
5195;121;0.025%
88;121;0.025%
6812;121;0.025%
2562;121;0.025%
1177;121;0.025%
693;121;0.025%
12263;121;0.025%
11696;121;0.025%
3927;121;0.025%
14536;121;0.025%
5058;121;0.025%
14507;121;0.025%
9557;121;0.025%
147;121;0.025%
11721;121;0.025%
9020;120;0.025%
6125;120;0.025%
7644;120;0.025%
2410;120;0.025%
1983;120;0.025%
3069;120;0.025%
9809;120;0.025%
10621;120;0.025%
7481;120;0.025%
9195;120;0.025%
6783;120;0.025%
5295;120;0.025%
8534;120;0.025%
2473;120;0.025%
3159;120;0.025%
11929;120;0.025%
11185;120;0.025%
6987;120;0.025%
7207;120;0.025%
8535;120;0.025%
12571;120;0.025%
9156;120;0.025%
5560;120;0.025%
1183;120;0.025%
5486;120;0.025%
6820;120;0.025%
9284;119;0.025%
6227;119;0.025%
5640;119;0.025%
8711;119;0.025%
3277;119;0.025%
6038;119;0.025%
11794;119;0.025%
2522;119;0.025%
1050;119;0.025%
2625;119;0.025%
142;119;0.025%
7721;119;0.025%
9076;119;0.025%
2604;119;0.025%
7377;119;0.025%
13402;118;0.024%
8249;118;0.024%
4872;118;0.024%
11325;118;0.024%
2555;118;0.024%
3782;118;0.024%
10619;118;0.024%
891;118;0.024%
9820;118;0.024%
8941;118;0.024%
9731;118;0.024%
6088;118;0.024%
127;118;0.024%
7619;118;0.024%
338;118;0.024%
2478;118;0.024%
11160;118;0.024%
1470;118;0.024%
7497;118;0.024%
435;118;0.024%
3944;118;0.024%
3462;118;0.024%
1933;118;0.024%
4235;118;0.024%
3978;118;0.024%
8018;118;0.024%
7070;118;0.024%
12135;118;0.024%
3365;117;0.024%
1604;117;0.024%
3466;117;0.024%
2420;117;0.024%
14083;117;0.024%
10693;117;0.024%
2564;117;0.024%
7746;117;0.024%
14030;117;0.024%
7977;117;0.024%
3146;117;0.024%
10952;117;0.024%
6688;117;0.024%
4167;117;0.024%
11741;117;0.024%
12279;117;0.024%
11052;117;0.024%
6790;117;0.024%
7114;117;0.024%
2381;117;0.024%
3131;117;0.024%
11982;117;0.024%
6723;117;0.024%
2326;117;0.024%
8052;117;0.024%
4879;117;0.024%
11390;116;0.024%
4367;116;0.024%
3947;116;0.024%
1322;116;0.024%
1303;116;0.024%
1389;116;0.024%
3136;116;0.024%
7702;116;0.024%
12932;116;0.024%
3612;116;0.024%
10865;116;0.024%
8654;116;0.024%
6704;116;0.024%
5800;116;0.024%
329;116;0.024%
14649;116;0.024%
2044;116;0.024%
2334;116;0.024%
791;116;0.024%
9155;116;0.024%
1178;116;0.024%
2186;116;0.024%
11408;115;0.024%
2346;115;0.024%
12955;115;0.024%
4086;115;0.024%
7133;115;0.024%
6055;115;0.024%
8281;115;0.024%
13936;115;0.024%
8667;115;0.024%
3122;115;0.024%
5839;115;0.024%
14805;115;0.024%
9352;115;0.024%
2161;115;0.024%
3342;115;0.024%
8039;115;0.024%
9057;114;0.024%
2696;114;0.024%
3206;114;0.024%
315;114;0.024%
6944;114;0.024%
14057;114;0.024%
